"Longitude","Latitude"
1085142.64902937,6505047.84807364
1105142.64902937,5755047.84807365
705142.649029367,6895047.84807365
595142.649029367,7045047.84807364
335142.649029367,6905047.84807364
625142.649029367,7195047.84807364
665142.649029367,6895047.84807365
1295142.64902937,5795047.84807364
695142.649029367,6835047.84807365
1345142.64902937,5775047.84807365
605142.649029367,6865047.84807365
675142.649029367,7045047.84807364
705142.649029366,6845047.84807365
695142.649029367,6825047.84807364
745142.649029366,7085047.84807365
655142.649029367,6995047.84807365
735142.649029367,7065047.84807364
625142.649029367,7075047.84807365
685142.649029367,7075047.84807365
585142.649029367,6895047.84807365
735142.649029367,7075047.84807365
715142.649029367,6805047.84807365
705142.649029367,6925047.84807364
1855142.64902937,7475047.84807365
885142.649029367,7115047.84807364
1295142.64902937,4535047.84807365
-344857.350970633,6485047.84807364
1575142.64902937,5885047.84807365
6865142.64902937,6005047.84807365
535142.649029367,6695047.84807364
1685142.64902937,6195047.84807364
1285142.64902937,6325047.84807364
10045142.6490294,5775047.84807365
1505142.64902937,5885047.84807365
655142.649029367,7195047.84807364
925142.649029367,5135047.84807365
1545142.64902937,5985047.84807365
-364857.350970633,6485047.84807364
9935142.64902937,5815047.84807365
2505142.64902937,6255047.84807364
1505142.64902937,5875047.84807365
-324857.350970633,6505047.84807364
885142.649029367,7135047.84807364
815142.649029366,6845047.84807365
925142.649029366,5525047.84807365
-194857.350970633,6595047.84807364
485142.649029367,6695047.84807364
555142.649029367,6865047.84807365
625142.649029367,7165047.84807364
-214857.350970633,6585047.84807365
1045142.64902937,6275047.84807365
875142.649029366,5205047.84807365
-354857.350970633,6475047.84807365
2815142.64902937,6585047.84807365
2665142.64902937,6565047.84807365
1115142.64902937,5175047.84807365
1305142.64902937,4545047.84807365
3455142.64902937,5235047.84807365
725142.649029367,5445047.84807365
1545142.64902937,5825047.84807365
885142.649029367,6815047.84807365
1065142.64902937,5885047.84807365
1005142.64902937,6525047.84807364
1265142.64902937,6655047.84807364
-324857.350970633,6515047.84807364
615142.649029367,6385047.84807364
1515142.64902937,7705047.84807365
5695142.64902937,6975047.84807364
645142.649029367,6445047.84807364
595142.649029367,6435047.84807365
645142.649029367,6425047.84807364
755142.649029367,6385047.84807364
1875142.64902937,7495047.84807365
5715142.64902937,6955047.84807364
1005142.64902937,6935047.84807365
685142.649029367,6415047.84807365
605142.649029367,6445047.84807364
635142.649029367,6385047.84807364
575142.649029367,6495047.84807365
3045142.64902937,6715047.84807364
1565142.64902937,7625047.84807365
675142.649029367,6575047.84807364
645142.649029367,6605047.84807364
1825142.64902937,7495047.84807365
585142.649029367,6445047.84807364
645142.649029367,6465047.84807365
845142.649029367,6495047.84807365
395142.649029367,6785047.84807364
625142.649029367,6595047.84807364
1875142.64902937,7515047.84807365
855142.649029367,6405047.84807364
615142.649029367,6405047.84807364
6805142.64902937,6105047.84807365
595142.649029367,6565047.84807365
2785142.64902937,6495047.84807365
